request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_58,0.0,affordable_with_plan,installments,2025-01-06:0.00,2024-12-07,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $14433900.00.
request_59,0.0,affordable_with_plan,installments,2025-06-03:0.00,2025-05-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $132600.00.
request_60,0.0,affordable_with_plan,installments,2026-02-05:0.00,2026-01-06,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $400.00.
request_61,0.0,affordable_with_plan,installments,2024-04-02:0.00,2024-03-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $36700.00.
request_62,0.0,affordable_with_plan,installments,2025-09-04:0.00,2025-08-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $1300.00.
request_63,0.0,affordable_with_plan,installments,2026-08-06:0.00,2026-07-07,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $153500.00.
request_64,0.0,affordable_with_plan,installments,2024-07-04:0.00,2024-06-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $36100.00.
request_65,0.0,not_affordable,full_payment,2025-11-06:54340.00,2025-11-06,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $15500.00.
request_66,0.0,not_affordable,full_payment,2026-04-03:22200.00,2026-04-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $80700.00.
request_67,0.0,affordable_with_plan,installments,2024-10-05:0.00,2024-09-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $1200.00.
request_68,0.0,affordable_with_plan,installments,2025-03-09:0.00,2025-02-07,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $1500.00.
request_69,0.0,not_affordable,full_payment,2026-01-04:529.10,2026-01-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $700.00.
request_70,0.0,affordable_with_plan,installments,2025-01-05:0.00,2024-12-06,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $115000.00.
request_71,0.0,not_affordable,full_payment,2025-05-03:21451000.00,2025-05-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $8884800.00.
request_72,0.0,not_affordable,full_payment,2026-07-05:11330.00,2026-07-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $12200.00.
request_73,0.0,not_affordable,full_payment,2023-01-20:71400.00,2023-01-20,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $103200.00.
request_74,0.0,affordable_with_plan,installments,2025-09-03:0.00,2025-08-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $21900.00.
request_75,0.0,affordable_with_plan,installments,2026-05-06:0.00,2026-04-06,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $39000.00.
request_76,0.0,affordable_with_plan,installments,2024-07-03:0.00,2024-06-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $1800.00.
request_77,0.0,not_affordable,full_payment,2025-11-05:60700.00,2025-11-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $82200.00.
request_78,0.0,not_affordable,full_payment,2025-10-02:50200.00,2025-10-02,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $55200.00.
request_79,0.0,affordable_with_plan,installments,2024-10-04:0.00,2024-09-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $1000.00.
request_80,0.0,not_affordable,full_payment,2025-02-06:217500.00,2025-02-06,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $121300.00.
request_81,0.0,not_affordable,full_payment,2026-07-03:2076.00,2026-07-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $1600.00.
request_82,0.0,affordable_with_plan,installments,2025-01-04:0.00,2024-12-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $1100.00.
request_83,0.0,affordable_with_plan,installments,2025-06-06:0.00,2025-05-07,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $37800.00.
request_84,0.0,affordable_with_plan,installments,2026-05-04:0.00,2026-04-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $91300.00.
request_85,0.0,affordable_with_plan,installments,2024-04-05:0.00,2024-03-06,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $6396300.00.
request_86,0.0,not_affordable,full_payment,2025-08-03:46300.00,2025-08-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $84900.00.
request_87,0.0,affordable_with_plan,installments,2026-02-04:0.00,2026-01-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $185900.00.
request_88,0.0,affordable_with_plan,installments,2024-07-07:0.00,2024-06-07,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $25800.00.
request_89,0.0,affordable_with_plan,installments,2025-12-04:0.00,2025-11-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $12534700.00.
request_90,0.0,affordable_with_plan,installments,2026-08-05:0.00,2026-07-06,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $7600.00.
request_91,0.0,affordable_with_plan,installments,2024-10-03:0.00,2024-09-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $2100.00.
request_92,0.0,not_affordable,full_payment,2025-02-05:34034.00,2025-02-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $28100.00.
request_93,0.0,not_affordable,full_payment,2026-04-07:1729.20,2026-04-07,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $1900.00.
request_94,0.0,not_affordable,full_payment,2024-12-04:572.00,2024-12-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $600.00.
request_95,0.0,affordable_with_plan,installments,2025-06-05:0.00,2025-05-06,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $145500.00.
request_96,0.0,affordable_with_plan,installments,2026-02-02:0.00,2026-01-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $56500.00.
request_97,0.0,affordable_with_plan,installments,2024-04-04:0.00,2024-03-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $29700.00.
request_98,0.0,affordable_with_plan,installments,2025-09-06:0.00,2025-08-07,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $30000.00.
request_99,0.0,not_affordable,full_payment,2026-07-04:18062.00,2026-07-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $49100.00.
request_100,0.0,affordable_with_plan,installments,2024-07-06:0.00,2024-06-06,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $32500.00.
request_101,0.0,not_affordable,full_payment,2025-11-03:143500.00,2025-11-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $187400.00.
request_102,0.0,affordable_with_plan,installments,2026-05-05:0.00,2026-04-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $900.00.
request_103,0.0,affordable_with_plan,installments,2024-10-07:0.00,2024-09-07,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $125500.00.
request_104,0.0,affordable_with_plan,installments,2025-03-06:0.00,2025-02-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $24700.00.
request_105,0.0,not_affordable,full_payment,2026-06-08:53500.00,2026-06-08,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $73900.00.
request_106,0.0,affordable_with_plan,installments,2025-01-02:0.00,2024-12-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $1200.00.
request_107,0.0,affordable_with_plan,installments,2025-06-04:0.00,2025-05-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $1600.00.
request_108,0.0,not_affordable,full_payment,2026-07-07:55308.00,2026-07-07,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $24100.00.
request_109,0.0,affordable_with_plan,installments,2024-04-03:0.00,2024-03-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $1700.00.
request_110,0.0,affordable_with_plan,installments,2025-09-05:0.00,2025-08-06,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $11200.00.
request_111,0.0,not_affordable,full_payment,2026-04-03:16625000.00,2026-04-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $23022800.00.
request_112,0.0,not_affordable,full_payment,2024-06-05:271.70,2024-06-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $500.00.
request_113,0.0,affordable_with_plan,installments,2026-10-04:0.00,2026-09-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $82300.00.
request_114,0.0,not_affordable,full_payment,2026-01-04:65300.00,2026-01-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $113400.00.
request_115,0.0,affordable_with_plan,installments,2024-10-06:0.00,2024-09-06,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $38800.00.
request_116,0.0,affordable_with_plan,installments,2025-03-05:0.00,2025-02-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $80300.00.
request_117,0.0,not_affordable,full_payment,2026-07-05:880.00,2026-07-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $1000.00.
request_118,0.0,affordable_with_plan,installments,2025-01-06:0.00,2024-12-07,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $600.00.
request_119,0.0,affordable_with_plan,installments,2025-06-03:0.00,2025-05-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $151200.00.
request_120,0.0,not_affordable,full_payment,2026-04-06:7714000.00,2026-04-06,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $20050300.00.
request_121,0.0,not_affordable,full_payment,2024-03-03:633.60,2024-03-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $800.00.
request_122,0.0,affordable_with_plan,installments,2025-09-04:0.00,2025-08-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $12588500.00.
request_123,0.0,affordable_with_plan,installments,2026-02-06:0.00,2026-01-07,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $18091200.00.
request_124,0.0,affordable_with_plan,installments,2024-07-04:0.00,2024-06-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $1600.00.
request_125,0.0,not_affordable,full_payment,2025-11-06:6468.00,2025-11-06,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $11300.00.
request_126,0.0,not_affordable,full_payment,2026-07-03:159600.00,2026-07-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $129700.00.
request_127,0.0,affordable_with_plan,installments,2024-10-05:0.00,2024-09-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $41000.00.
request_128,0.0,not_affordable,full_payment,2025-02-07:25168.00,2025-02-07,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $42600.00.
request_129,0.0,affordable_with_plan,installments,2026-05-04:0.00,2026-04-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $800.00.
request_130,0.0,affordable_with_plan,installments,2025-01-05:0.00,2024-12-06,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $1400.00.
request_131,0.0,affordable_with_plan,installments,2025-06-02:0.00,2025-05-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $1100.00.
request_132,0.0,affordable_with_plan,installments,2026-02-04:0.00,2026-01-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $1100.00.
request_133,0.0,not_affordable,full_payment,2024-03-07:15770000.00,2024-03-07,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $9986200.00.
request_134,0.0,affordable_with_plan,installments,2025-09-03:0.00,2025-08-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $15902500.00.
request_135,0.0,not_affordable,full_payment,2026-07-06:304.80,2026-07-06,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $500.00.
request_136,0.0,not_affordable,full_payment,2024-06-03:560.40,2024-06-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $1100.00.
request_137,0.0,affordable_with_plan,installments,2025-12-05:0.00,2025-11-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $71800.00.
request_138,0.0,affordable_with_plan,installments,2026-05-07:0.00,2026-04-07,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $2300.00.
request_139,0.0,affordable_with_plan,installments,2024-10-04:0.00,2024-09-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $1500.00.
request_140,0.0,not_affordable,full_payment,2025-02-06:62832.00,2025-02-06,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $21600.00.
request_141,0.0,affordable_with_plan,installments,2026-02-02:0.00,2026-01-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $67300.00.
request_142,0.0,affordable_with_plan,installments,2025-01-04:0.00,2024-12-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $1700.00.
request_143,0.0,affordable_with_plan,installments,2025-06-06:0.00,2025-05-07,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $11300.00.
request_144,0.0,not_affordable,full_payment,2026-07-04:233.34,2026-07-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $600.00.
request_145,0.0,affordable_with_plan,installments,2024-04-05:0.00,2024-03-06,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $155400.00.
request_146,0.0,affordable_with_plan,installments,2025-09-02:0.00,2025-08-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $108600.00.
request_147,0.0,affordable_with_plan,installments,2026-05-05:0.00,2026-04-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $900.00.
request_148,0.0,affordable_with_plan,installments,2024-07-07:0.00,2024-06-07,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $20000.00.
request_149,0.0,affordable_with_plan,installments,2025-12-04:0.00,2025-11-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $42100.00.
request_150,0.0,affordable_with_plan,installments,2026-02-05:0.00,2026-01-06,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $700.00.
request_151,0.0,not_affordable,full_payment,2024-09-03:26999000.00,2024-09-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $31633600.00.
request_152,0.0,affordable_with_plan,installments,2025-03-07:0.00,2025-02-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $11900.00.
request_153,0.0,affordable_with_plan,installments,2026-08-06:0.00,2026-07-07,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $1400.00.
request_154,0.0,affordable_with_plan,installments,2025-01-03:0.00,2024-12-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $1300.00.
request_155,0.0,not_affordable,full_payment,2025-05-06:112500.00,2025-05-06,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $56300.00.
request_156,0.0,affordable_with_plan,installments,2026-05-03:0.00,2026-04-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $26900.00.
request_157,0.0,affordable_with_plan,installments,2024-04-04:0.00,2024-03-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $15714100.00.
request_158,0.0,affordable_with_plan,installments,2025-09-06:0.00,2025-08-07,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $131400.00.
request_159,0.0,affordable_with_plan,installments,2026-02-03:0.00,2026-01-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $8700.00.
request_160,0.0,affordable_with_plan,installments,2024-07-06:0.00,2024-06-06,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $1200.00.
request_161,0.0,affordable_with_plan,installments,2025-12-03:0.00,2025-11-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $23010400.00.
request_162,0.0,affordable_with_plan,installments,2026-08-04:0.00,2026-07-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $24161100.00.
request_163,0.0,affordable_with_plan,installments,2024-10-07:0.00,2024-09-07,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $26728700.00.
request_164,0.0,affordable_with_plan,installments,2025-03-06:0.00,2025-02-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $29550500.00.
request_165,0.0,not_affordable,full_payment,2026-04-06:80600.00,2026-04-06,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $95000.00.
request_166,0.0,affordable_with_plan,installments,2025-01-02:0.00,2024-12-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $1700.00.
request_167,0.0,not_affordable,full_payment,2025-05-05:43802.00,2025-05-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $31200.00.
request_168,0.0,affordable_with_plan,installments,2026-02-06:0.00,2026-01-07,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $114400.00.
